2020 - Mayo | Nacional | 374.052167 | 202.961129
2020 - Junio | Nacional | 391.126900 | 293.926000
2020 - Junio | Nacional | 319.451833 | 240.259629
2020 - Junio | Nacional | 334.638150 | 243.698429
2020 - Junio | Nacional | 378.166483 | 261.883686
2020 - Junio | Nacional | 376.298050 | 210.582843
2020 - Julio | Nacional | 396.207683 | 224.606571
2020 - Julio | Nacional | 323.644233 | 208.374857
2020 - Julio | Nacional | 349.344900 | 300.256986
2020 - Julio | Nacional | 393.005267 | 249.884471
2020 - Julio | Nacional | 384.264867 | 248.067029
2020 - Agosto | Nacional | 409.218250 | 263.038900
2020 - Agosto | Nacional | 327.702350 | 218.222843
2020 - Agosto | Nacional | 356.327533 | 229.310043
2020 - Agosto | Nacional | 407.059933 | 215.514771
2020 - Agosto | Nacional | 394.507417 | 307.589757
2020 - Mayo | Nacional | 421.672500 | 262.820557
2020 - Mayo | Nacional | 341.486817 | 257.622257
2020 - Mayo | Nacional | 375.801350 | 266.158514
2020 - Mayo | Nacional | 417.247967 | 227.422271
2020 - Mayo | Nacional | 399.728967 | 235.999486
2020 - Octubre | Nacional | 441.889150 | 223.644129
2020 - Octubre | Nacional | 346.892683 | 314.488971
2020 - Octubre | Nacional | 396.354967 | 284.955400
2020 - Octubre | Nacional | 435.573633 | 270.069086
2020 - Octubre | Nacional | 408.986250 | 283.852200
2020 - Noviembre | Nacional | 454.363383 | 244.323271
2020 - Noviembre | Nacional | 358.083817 | 238.425814
2020 - Noviembre | Nacional | 413.378017 | 235.535114
2020 - Noviembre | Nacional | 453.499333 | 319.417500
2020 - Noviembre | Nacional | 418.052067 | 298.290471
2020 - Diciembre | Nacional | 478.377183 | 280.040543
2020 - Diciembre | Nacional | 372.041417 | 286.128143
2020 - Diciembre | Nacional | 428.366250 | 249.955671
2020 - Diciembre | Nacional | 465.119417 | 242.444886
2020 - Diciembre | Nacional | 426.294433 | 241.696871
2021 - Enero | Nacional | 501.829550 | 324.188800
2021 - Enero | Nacional | 388.877933 | 317.812600
2021 - Enero | Nacional | 436.972767 | 293.771600
2021 - Enero | Nacional | 480.326817 | 307.953957
2021 - Enero | Nacional | 434.310917 | 259.113129
2021 - Febrero | Nacional | 521.180983 | 248.298329
2021 - Febrero | Nacional | 403.036633 | 249.730771
2021 - Febrero | Nacional | 451.001500 | 330.176157
2021 - Febrero | Nacional | 501.717817 | 334.282457
2021 - Febrero | Nacional | 447.818667 | 310.203700
2021 - Marzo | Nacional | 542.864667 | 335.753743
2021 - Marzo | Nacional | 428.372183 | 265.489114
2021 - Marzo | Nacional | 486.400983 | 251.020871
2021 - Marzo | Nacional | 516.913150 | 257.416857
