09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 126.5606 | 0.3 | 22.5 | GBA | 2018 - Febrero
10 | Educaci n  | Nivel general y divisiones COICOP | 131.8309 | 1.5 | 25.6 | GBA | 2018 - Febrero
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 128.916 | 1.8 | 22.6 | GBA | 2018 - Febrero
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 161.3686 | 1 | 45.7 | GBA | 2018 - Marzo
06 | Salud  | Nivel general y divisiones COICOP | 134.3951 | 1 | 26 | GBA | 2018 - Marzo
07 | Transporte  | Nivel general y divisiones COICOP | 127.0591 | 1.3 | 21.5 | GBA | 2018 - Marzo
08 | Comunicaci n  | Nivel general y divisiones COICOP | 150.5486 | 2.3 | 36 | GBA | 2018 - Marzo
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 128.1069 | 1.2 | 22.2 | GBA | 2018 - Marzo
10 | Educaci n  | Nivel general y divisiones COICOP | 151.1936 | 14.7 | 35.1 | GBA | 2018 - Marzo
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 130.7344 | 1.4 | 23.1 | GBA | 2018 - Marzo
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 172.2109 | 6.7 | 48.6 | GBA | 2018 - Abril
06 | Salud  | Nivel general y divisiones COICOP | 136.3736 | 1.5 | 26 | GBA | 2018 - Abril
07 | Transporte  | Nivel general y divisiones COICOP | 133.7633 | 5.3 | 27.3 | GBA | 2018 - Abril
08 | Comunicaci n  | Nivel general y divisiones COICOP | 151.5764 | 0.7 | 28.2 | GBA | 2018 - Abril
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 130.8525 | 2.1 | 20.8 | GBA | 2018 - Abril
10 | Educaci n  | Nivel general y divisiones COICOP | 152.0724 | 0.6 | 30.8 | GBA | 2018 - Abril
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 133.5964 | 2.2 | 23.3 | GBA | 2018 - Abril
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 170.0052 | -1.3 | 44 | GBA | 2018 - Mayo
06 | Salud  | Nivel general y divisiones COICOP | 139.4698 | 2.3 | 27 | GBA | 2018 - Mayo
07 | Transporte  | Nivel general y divisiones COICOP | 136.4371 | 2 | 28.5 | GBA | 2018 - Mayo
08 | Comunicaci n  | Nivel general y divisiones COICOP | 157.0028 | 3.6 | 32.8 | GBA | 2018 - Mayo
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 133.4245 | 2 | 22.1 | GBA | 2018 - Mayo
10 | Educaci n  | Nivel general y divisiones COICOP | 152.5495 | 0.3 | 28.7 | GBA | 2018 - Mayo
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 136.359 | 2.1 | 24.5 | GBA | 2018 - Mayo
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 176.5691 | 3.9 | 46 | GBA | 2018 - Junio
06 | Salud  | Nivel general y divisiones COICOP | 146.1936 | 4.8 | 31.5 | GBA | 2018 - Junio
07 | Transporte  | Nivel general y divisiones COICOP | 145.3092 | 6.5 | 36.4 | GBA | 2018 - Junio
08 | Comunicaci n  | Nivel general y divisiones COICOP | 157.3577 | 0.2 | 30.6 | GBA | 2018 - Junio
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 138.5918 | 3.9 | 23.1 | GBA | 2018 - Junio
10 | Educaci n  | Nivel general y divisiones COICOP | 154.778 | 1.5 | 29.6 | GBA | 2018 - Junio
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 140.6163 | 3.1 | 26.3 | GBA | 2018 - Junio
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 176.5774 | 0 | 42.5 | GBA | 2018 - Julio
06 | Salud  | Nivel general y divisiones COICOP | 149.7694 | 2.4 | 30.2 | GBA | 2018 - Julio
07 | Transporte  | Nivel general y divisiones COICOP | 151.5932 | 4.3 | 40.3 | GBA | 2018 - Julio
08 | Comunicaci n  | Nivel general y divisiones COICOP | 158.0181 | 0.4 | 30.5 | GBA | 2018 - Julio
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 145.2476 | 4.8 | 25.1 | GBA | 2018 - Julio
10 | Educaci n  | Nivel general y divisiones COICOP | 158.2487 | 2.2 | 31.6 | GBA | 2018 - Julio
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 144.8046 | 3 | 26.9 | GBA | 2018 - Julio
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 191.835 | 8.6 | 50.9 | GBA | 2018 - Agosto
06 | Salud  | Nivel general y divisiones COICOP | 157.345 | 5.1 | 33 | GBA | 2018 - Agosto
07 | Transporte  | Nivel general y divisiones COICOP | 156.6031 | 3.3 | 43.3 | GBA | 2018 - Agosto
08 | Comunicaci n  | Nivel general y divisiones COICOP | 182.2124 | 15.3 | 47.7 | GBA | 2018 - Agosto
09 | Recreaci n y cultura  | Nivel general y divisiones COICOP | 147.2747 | 1.4 | 26.8 | GBA | 2018 - Agosto
10 | Educaci n  | Nivel general y divisiones COICOP | 161.3912 | 2 | 32.3 | GBA | 2018 - Agosto
11 | Restaurantes y hoteles  | Nivel general y divisiones COICOP | 148.3622 | 2.5 | 28.9 | GBA | 2018 - Agosto
04 | Vivienda agua electricidad gas y otros combustibles  | Nivel general y divisiones COICOP | 193.24 | 0.7 | 50.7 | GBA | 2018 - Mayo
06 | Salud  | Nivel general y divisiones COICOP | 164.1223 | 4.3 | 35.4 | GBA | 2018 - Mayo
07 | Transporte  | Nivel general y divisiones COICOP | 173.2611 | 10.6 | 57.1 | GBA | 2018 - Mayo
