04 | Vivienda, agua, electricidad, gas y otros combustibles | Nivel general y divisiones COICOP | 100 | NA | NA | GBA | Diciembre - 2016
07 | Transporte | Nivel general y divisiones COICOP | 105.0294 | 2.3 | NA | Cuyo | Febrero - 2017
07 | Transporte | Nivel general y divisiones COICOP | 104.4111 | 1.9 | NA | Patagonia | Febrero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 108.0484 | 4.1 | NA | GBA | Febrero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 106.7706 | 4.6 | NA | Pampeana | Febrero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 107.0976 | 4.3 | NA | Noreste | Febrero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 107.0784 | 2.9 | NA | Noroeste | Febrero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 105.0927 | 2.2 | NA | Cuyo | Febrero - 2017
08 | Comunicación | Nivel general y divisiones COICOP | 105.7368 | 4 | NA | Patagonia | Febrero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 103.3096 | 0.1 | NA | GBA | Febrero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 104.5173 | 0.9 | NA | Pampeana | Febrero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 105.6846 | 2 | NA | Noreste | Febrero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 103.4842 | 0.1 | NA | Noroeste | Febrero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 103.0695 | 1.6 | NA | Cuyo | Febrero - 2017
09 | Recreación y cultura | Nivel general y divisiones COICOP | 102.5319 | 1.6 | NA | Patagonia | Febrero - 2017
10 | Educación | Nivel general y divisiones COICOP | 104.936 | 4.4 | NA | GBA | Febrero - 2017
10 | Educación | Nivel general y divisiones COICOP | 102.0178 | 1.6 | NA | Pampeana | Febrero - 2017
10 | Educación | Nivel general y divisiones COICOP | 109.7825 | 8 | NA | Noreste | Febrero - 2017
10 | Educación | Nivel general y divisiones COICOP | 102.8592 | 2.3 | NA | Noroeste | Febrero - 2017
10 | Educación | Nivel general y divisiones COICOP | 102.6468 | 2.6 | NA | Cuyo | Febrero - 2017
10 | Educación | Nivel general y divisiones COICOP | 106.687 | -0.3 | NA | Patagonia | Febrero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 105.1373 | 1.8 | NA | GBA | Febrero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 104.4851 | 1.3 | NA | Pampeana | Febrero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 108.3164 | 3.9 | NA | Noreste | Febrero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 103.3877 | 0.9 | NA | Noroeste | Febrero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 103.7947 | 1.9 | NA | Cuyo | Febrero - 2017
11 | Restaurantes y hoteles | Nivel general y divisiones COICOP | 105.6675 | 3.3 | NA | Patagonia | Febrero - 2017
