04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|157.216|1|54.9|Nacional|Enero - 2018
06|Salud|Nivel general y divisiones COICOP|130.037|1.8|27.1|Nacional|Enero - 2018
07|Transporte|Nivel general y divisiones COICOP|123.2423|2.2|20.7|Nacional|Enero - 2018
08|Comunicación|Nivel general y divisiones COICOP|136.6524|1.9|32.6|Nacional|Enero - 2018
09|Recreación y cultura|Nivel general y divisiones COICOP|127.0012|3.5|23.1|Nacional|Enero - 2018
10|Educación|Nivel general y divisiones COICOP|132.3079|0.6|31.3|Nacional|Enero - 2018
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|125.7038|2.9|21.9|Nacional|Enero - 2018
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|163.1754|3.8|52.5|Nacional|Febrero - 2018
06|Salud|Nivel general y divisiones COICOP|133.0853|2.3|26.6|Nacional|Febrero - 2018
07|Transporte|Nivel general y divisiones COICOP|128.7666|4.5|23.8|Nacional|Febrero - 2018
08|Comunicación|Nivel general y divisiones COICOP|149.113|9.1|39|Nacional|Febrero - 2018
09|Recreación y cultura|Nivel general y divisiones COICOP|128.2519|1|23.6|Nacional|Febrero - 2018
10|Educación|Nivel general y divisiones COICOP|134.8324|1.9|29.7|Nacional|Febrero - 2018
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|128.3425|2.1|22.4|Nacional|Febrero - 2018
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|164.1018|0.6|48|Nacional|Marzo - 2018
06|Salud|Nivel general y divisiones COICOP|134.821|1.3|25.8|Nacional|Marzo - 2018
07|Transporte|Nivel general y divisiones COICOP|131.0603|1.8|24.6|Nacional|Marzo - 2018
08|Comunicación|Nivel general y divisiones COICOP|153.2069|2.7|38.4|Nacional|Marzo - 2018
09|Recreación y cultura|Nivel general y divisiones COICOP|129.8108|1.2|23|Nacional|Marzo - 2018
10|Educación|Nivel general y divisiones COICOP|153.4357|13.8|33|Nacional|Marzo - 2018
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|130.5949|1.8|23.3|Nacional|Marzo - 2018
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|177.2462|8|51|Nacional|Abril - 2018
06|Salud|Nivel general y divisiones COICOP|137.2231|1.8|25.8|Nacional|Abril - 2018
07|Transporte|Nivel general y divisiones COICOP|136.3269|4|28.8|Nacional|Abril - 2018
08|Comunicación|Nivel general y divisiones COICOP|154.7928|1|30.9|Nacional|Abril - 2018
09|Recreación y cultura|Nivel general y divisiones COICOP|132.3056|1.9|22.2|Nacional|Abril - 2018
10|Educación|Nivel general y divisiones COICOP|154.6926|0.8|30.3|Nacional|Abril - 2018
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|133.5827|2.3|23.7|Nacional|Abril - 2018
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|175.9498|-0.7|47.2|Nacional|Mayo - 2018
06|Salud|Nivel general y divisiones COICOP|140.2549|2.2|26.7|Nacional|Mayo - 2018
07|Transporte|Nivel general y divisiones COICOP|138.9243|1.9|30|Nacional|Mayo - 2018
08|Comunicación|Nivel general y divisiones COICOP|160.8721|3.9|35.6|Nacional|Mayo - 2018
09|Recreación y cultura|Nivel general y divisiones COICOP|135.6359|2.5|24.3|Nacional|Mayo - 2018
10|Educación|Nivel general y divisiones COICOP|156.0746|0.9|29.3|Nacional|Mayo - 2018
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|136.7886|2.4|24.9|Nacional|Mayo - 2018
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|180.6206|2.7|48.5|Nacional|Junio - 2018
06|Salud|Nivel general y divisiones COICOP|146.2916|4.3|30.2|Nacional|Junio - 2018
07|Transporte|Nivel general y divisiones COICOP|147.1719|5.9|36.8|Nacional|Junio - 2018
08|Comunicación|Nivel general y divisiones COICOP|161.4822|0.4|34.5|Nacional|Junio - 2018
09|Recreación y cultura|Nivel general y divisiones COICOP|140.1805|3.4|25.6|Nacional|Junio - 2018
10|Educación|Nivel general y divisiones COICOP|157.9789|1.2|29.6|Nacional|Junio - 2018
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|140.423|2.7|26.6|Nacional|Junio - 2018
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|182.4306|1|47|Nacional|Julio - 2018
06|Salud|Nivel general y divisiones COICOP|150.399|2.8|29.6|Nacional|Julio - 2018
07|Transporte|Nivel general y divisiones COICOP|154.8231|5.2|40.9|Nacional|Julio - 2018
08|Comunicación|Nivel general y divisiones COICOP|162.4498|0.6|34|Nacional|Julio - 2018
09|Recreación y cultura|Nivel general y divisiones COICOP|147.2814|5.1|27.4|Nacional|Julio - 2018
10|Educación|Nivel general y divisiones COICOP|160.7826|1.8|30.8|Nacional|Julio - 2018
11|Restaurantes y hoteles|Nivel general y divisiones COICOP|144.436|2.9|26.9|Nacional|Julio - 2018
04|Vivienda, agua, electricidad, gas y otros combustibles|Nivel general y divisiones COICOP|193.6678|6.2|52.8|Nacional|Agosto - 2018
06|Salud|Nivel general y divisiones COICOP|156.5273|4.1|31.5|Nacional|Agosto - 2018
